Districts,Year,Season,Crops,Yield,Soil_Mois,Soil_Temp
Pudukkottai,2020,Rabi,Urad,9900,16.8,27.04
Pudukkottai,2020,Kharif,Urad,5520,23.2,25.72
Pudukkottai,2020,Rabi,Cotton,890,16.8,27.04
Pudukkottai,2020,Kharif,Cotton,520,26,25.72
Pudukkottai,2021,Rabi,Groundnut,1670,17.2,28.67
Pudukkottai,2021,Kharif,Groundnut,2390,26,26.35
Pudukkottai,2021,Rabi,Maize,1580,17.2,28.67
Pudukkottai,2021,Kharif,Maize,4040,26,26.35
Pudukkottai,2021,Rabi,Onion,8050,17.2,28.67
Pudukkottai,2021,Kharif,Onion,6080,26,26.35
Pudukkottai,2021,Rabi,Urad,9170,17.2,28.67
Pudukkottai,2021,Kharif,Urad,5970,26,26.35
Pudukkottai,2021,Rabi,Cotton,880,17.2,28.67
Pudukkottai,2021,Kharif,Cotton,630,24.8,26.35
Pudukkottai,2022,Rabi,Groundnut,1900,14.4,27.35
Pudukkottai,2022,Kharif,Groundnut,1800,24.8,25.58
Pudukkottai,2022,Rabi,Maize,1790,14.4,27.35
Pudukkottai,2022,Kharif,Maize,2640,24.8,25.58
Pudukkottai,2022,Rabi,Onion,7800,14.4,27.35
Pudukkottai,2022,Kharif,Onion,6140,24.8,25.58
Pudukkottai,2022,Rabi,Urad,9570,14.4,27.35
Pudukkottai,2022,Kharif,Urad,7580,24.8,25.58
Pudukkottai,2022,Rabi,Cotton,860,14.4,27.35
Pudukkottai,2022,Kharif,Cotton,650,26,25.58
Ramanathapuram,2015,Rabi,Groundnut,1830,18.8,28.59
Ramanathapuram,2015,Kharif,Groundnut,1220,26,25.5
Ramanathapuram,2015,Rabi,Maize,1790,18.8,28.59
Ramanathapuram,2015,Kharif,Maize,1360,26,25.5
Ramanathapuram,2015,Rabi,Onion,7800,18.8,28.59
Ramanathapuram,2015,Kharif,Onion,6840,26,25.5
Ramanathapuram,2015,Rabi,Urad,9570,18.8,28.59
Ramanathapuram,2015,Kharif,Urad,6480,26,25.5
Ramanathapuram,2015,Rabi,Cotton,1000,18.8,28.59
Ramanathapuram,2015,Kharif,Cotton,700,26.4,25.5
Ramanathapuram,2016,Rabi,Groundnut,1830,16,28.61
Ramanathapuram,2016,Kharif,Groundnut,320,26.4,25.4
Ramanathapuram,2016,Rabi,Maize,1790,16,28.61
Ramanathapuram,2016,Kharif,Maize,390,26.4,25.4
Ramanathapuram,2016,Rabi,Onion,7800,16,28.61
Ramanathapuram,2016,Kharif,Onion,1260,26.4,25.4
Ramanathapuram,2016,Rabi,Urad,9570,16,28.61
Ramanathapuram,2016,Kharif,Urad,5050,26.4,25.4
Ramanathapuram,2016,Rabi,Cotton,770,16,28.61
Ramanathapuram,2016,Kharif,Cotton,360,22,25.4
Ramanathapuram,2017,Rabi,Groundnut,1830,14.8,27.96
Ramanathapuram,2017,Kharif,Groundnut,0,22,25.67
Ramanathapuram,2017,Rabi,Maize,1790,14.8,27.96
Ramanathapuram,2017,Kharif,Maize,1100,22,25.67
Ramanathapuram,2017,Rabi,Onion,7800,14.8,27.96
Ramanathapuram,2017,Kharif,Onion,6690,22,25.67
Ramanathapuram,2017,Rabi,Urad,9570,14.8,27.96
Ramanathapuram,2017,Kharif,Urad,9300,22,25.67
Ramanathapuram,2017,Rabi,Cotton,830,14.8,27.96
Ramanathapuram,2017,Kharif,Cotton,680,22.4,25.67
Ramanathapuram,2018,Rabi,Groundnut,1830,14,28.87
Ramanathapuram,2018,Kharif,Groundnut,300,22.4,25.44
Ramanathapuram,2018,Rabi,Maize,1790,14,28.87
Ramanathapuram,2018,Kharif,Maize,920,22.4,25.44
Ramanathapuram,2018,Rabi,Onion,7800,14,28.87
Ramanathapuram,2018,Kharif,Onion,7000,22.4,25.44
Ramanathapuram,2018,Rabi,Urad,9570,14,28.87
Ramanathapuram,2018,Kharif,Urad,5690,22.4,25.44
Ramanathapuram,2018,Rabi,Cotton,1000,14,28.87
Ramanathapuram,2018,Kharif,Cotton,610,24.8,25.44
Ramanathapuram,2019,Rabi,Groundnut,3000,18.8,27.85
Ramanathapuram,2019,Kharif,Groundnut,980,24.8,25.19
Ramanathapuram,2019,Rabi,Maize,2000,18.8,27.85
Ramanathapuram,2019,Kharif,Maize,2130,24.8,25.19
Ramanathapuram,2019,Rabi,Onion,7800,18.8,27.85
Ramanathapuram,2019,Kharif,Onion,6740,24.8,25.19
Ramanathapuram,2019,Rabi,Urad,9570,18.8,27.85
Ramanathapuram,2019,Kharif,Urad,7050,24.8,25.19
Ramanathapuram,2019,Rabi,Cotton,910,18.8,27.85
Ramanathapuram,2019,Kharif,Cotton,360,26.8,25.19
Ramanathapuram,2020,Rabi,Groundnut,2000,18,28.3
Ramanathapuram,2020,Kharif,Groundnut,1400,26.8,26.56
Ramanathapuram,2020,Rabi,Maize,2000,18,28.3
Ramanathapuram,2020,Kharif,Maize,1760,26.8,26.56
Ramanathapuram,2020,Rabi,Onion,7800,18,28.3
Ramanathapuram,2020,Kharif,Onion,5290,26.8,26.56
Ramanathapuram,2020,Rabi,Urad,9570,18,28.3
Ramanathapuram,2020,Kharif,Urad,5550,26.8,26.56
Ramanathapuram,2020,Rabi,Cotton,910,18,28.3
Ramanathapuram,2020,Kharif,Cotton,100,26,26.56
Ramanathapuram,2021,Rabi,Groundnut,2000,19.6,28.87
Ramanathapuram,2021,Kharif,Groundnut,1090,26,26.7
Ramanathapuram,2021,Rabi,Maize,3000,19.6,28.87
Ramanathapuram,2021,Kharif,Maize,1150,26,26.7
Ramanathapuram,2021,Rabi,Onion,7800,19.6,28.87
Ramanathapuram,2021,Kharif,Onion,6070,26,26.7
Ramanathapuram,2021,Rabi,Urad,9570,19.6,28.87
Ramanathapuram,2021,Kharif,Urad,6050,26,26.7
Ramanathapuram,2021,Rabi,Cotton,800,19.6,28.87
Ramanathapuram,2021,Kharif,Cotton,190,27.6,26.7
Ramanathapuram,2022,Rabi,Groundnut,1910,15.2,27.04
Ramanathapuram,2022,Kharif,Groundnut,820,27.6,26.64
Ramanathapuram,2022,Rabi,Maize,2110,15.2,27.04
Ramanathapuram,2022,Kharif,Maize,300,27.6,26.64
Ramanathapuram,2022,Rabi,Onion,7800,15.2,27.04
Ramanathapuram,2022,Kharif,Onion,6140,27.6,26.64
Ramanathapuram,2022,Rabi,Urad,9570,15.2,27.04
Ramanathapuram,2022,Kharif,Urad,7650,27.6,26.64
Ramanathapuram,2022,Rabi,Cotton,800,15.2,27.04
Ramanathapuram,2022,Kharif,Cotton,120,24.8,26.64
Salem,2015,Rabi,Groundnut,3050,20.8,27.75
Salem,2015,Kharif,Groundnut,3310,24.8,25.43
Salem,2015,Rabi,Maize,2050,20.8,27.75
Salem,2015,Kharif,Maize,2870,24.8,25.43
Salem,2015,Rabi,Onion,11160,20.8,27.75
Salem,2015,Kharif,Onion,8210,24.8,25.43
Salem,2015,Rabi,Urad,8880,20.8,27.75
Salem,2015,Kharif,Urad,11360,24.8,25.43
Salem,2015,Rabi,Cotton,1100,20.8,27.75
Salem,2015,Kharif,Cotton,700,25.6,25.43
Salem,2016,Rabi,Groundnut,1770,14.8,28.36
Salem,2016,Kharif,Groundnut,2560,25.6,26.39
Salem,2016,Rabi,Maize,1760,14.8,28.36
Salem,2016,Kharif,Maize,1680,25.6,26.39
Salem,2016,Rabi,Onion,8240,14.8,28.36
Salem,2016,Kharif,Onion,3370,25.6,26.39
Salem,2016,Rabi,Urad,10570,14.8,28.36
Salem,2016,Kharif,Urad,890,25.6,26.39
Salem,2016,Rabi,Cotton,690,14.8,28.36
Salem,2016,Kharif,Cotton,360,23.2,26.39
Salem,2017,Rabi,Groundnut,0,14.4,28.4
Salem,2017,Kharif,Groundnut,0,23.2,25.54
Salem,2017,Rabi,Maize,2540,14.4,28.4
Salem,2017,Kharif,Maize,3090,23.2,25.54
Salem,2017,Rabi,Onion,9500,14.4,28.4
Salem,2017,Kharif,Onion,9640,23.2,25.54
Salem,2017,Rabi,Urad,10880,14.4,28.4
Salem,2017,Kharif,Urad,10430,23.2,25.54
Salem,2017,Rabi,Cotton,1070,14.4,28.4
Salem,2017,Kharif,Cotton,680,24,25.54
Salem,2018,Rabi,Groundnut,2880,16.4,27.4
Salem,2018,Kharif,Groundnut,4800,24,25.51
Salem,2018,Rabi,Maize,1520,16.4,27.4
Salem,2018,Kharif,Maize,3150,24,25.51
Salem,2018,Rabi,Onion,10640,16.4,27.4
Salem,2018,Kharif,Onion,9040,24,25.51
Salem,2018,Rabi,Urad,8770,16.4,27.4
Salem,2018,Kharif,Urad,5690,24,25.51
Salem,2018,Rabi,Cotton,820,16.4,27.4
Salem,2018,Kharif,Cotton,610,24,25.51
Salem,2019,Rabi,Groundnut,2650,14.8,28.16
Salem,2019,Kharif,Groundnut,3990,24,26.18
Salem,2019,Rabi,Maize,2490,14.8,28.16
Salem,2019,Kharif,Maize,3950,24,26.18
Salem,2019,Rabi,Onion,8960,14.8,28.16
Salem,2019,Kharif,Onion,6650,24,26.18
Salem,2019,Rabi,Urad,9160,14.8,28.16
Salem,2019,Kharif,Urad,7060,24,26.18
Salem,2019,Rabi,Cotton,840,14.8,28.16
Salem,2019,Kharif,Cotton,780,25.6,26.18
Salem,2020,Rabi,Groundnut,2630,15.2,28.27
Salem,2020,Kharif,Groundnut,3730,25.6,26.33
Salem,2020,Rabi,Maize,1970,15.2,28.27
Salem,2020,Kharif,Maize,3660,25.6,26.33
Salem,2020,Rabi,Onion,9630,15.2,28.27
Salem,2020,Kharif,Onion,8390,25.6,26.33
Salem,2020,Rabi,Urad,8370,15.2,28.27
Salem,2020,Kharif,Urad,11190,25.6,26.33
Salem,2020,Rabi,Cotton,990,15.2,28.27
Salem,2020,Kharif,Cotton,520,26.4,26.33
Salem,2021,Rabi,Groundnut,2400,16.4,27.85
Salem,2021,Kharif,Groundnut,3370,26.4,25.3
Salem,2021,Rabi,Maize,2020,16.4,27.85
Salem,2021,Kharif,Maize,3270,26.4,25.3
Salem,2021,Rabi,Onion,7780,16.4,27.85
Salem,2021,Kharif,Onion,8480,26.4,25.3
Salem,2021,Rabi,Urad,5600,16.4,27.85
Salem,2021,Kharif,Urad,5790,26.4,25.3
Salem,2021,Rabi,Cotton,920,16.4,27.85
Salem,2021,Kharif,Cotton,630,28,25.3
Salem,2022,Rabi,Groundnut,1770,20.8,28.97
Salem,2022,Kharif,Groundnut,3070,28,25.18
Salem,2022,Rabi,Maize,1700,20.8,28.97
Salem,2022,Kharif,Maize,3270,28,25.18
Salem,2022,Rabi,Onion,8140,20.8,28.97
Salem,2022,Kharif,Onion,8430,28,25.18
Salem,2022,Rabi,Urad,9140,20.8,28.97
Salem,2022,Kharif,Urad,8040,28,25.18
Salem,2022,Rabi,Cotton,1050,20.8,28.97
Salem,2022,Kharif,Cotton,650,26.4,25.18
Sivaganga,2015,Rabi,Groundnut,1870,21.6,28.39
Sivaganga,2015,Kharif,Groundnut,2960,26.4,26.35
Sivaganga,2015,Rabi,Maize,1730,21.6,28.39
Sivaganga,2015,Kharif,Maize,1140,26.4,26.35
Sivaganga,2015,Rabi,Onion,7360,21.6,28.39
Sivaganga,2015,Kharif,Onion,6840,26.4,26.35
Sivaganga,2015,Rabi,Urad,9640,21.6,28.39
Sivaganga,2015,Kharif,Urad,6480,26.4,26.35
Sivaganga,2015,Rabi,Cotton,690,21.6,28.39
Sivaganga,2015,Kharif,Cotton,700,23.6,26.35
Sivaganga,2016,Rabi,Groundnut,1290,16.4,27.96
Sivaganga,2016,Kharif,Groundnut,1470,23.6,25.18
Sivaganga,2016,Rabi,Maize,610,16.4,27.96
Sivaganga,2016,Kharif,Maize,3240,23.6,25.18
Sivaganga,2016,Rabi,Onion,4560,16.4,27.96
Sivaganga,2016,Kharif,Onion,1000,23.6,25.18
Sivaganga,2016,Rabi,Urad,10330,16.4,27.96
Sivaganga,2016,Kharif,Urad,5030,23.6,25.18
Sivaganga,2016,Rabi,Cotton,770,16.4,27.96
Sivaganga,2016,Kharif,Cotton,360,25.2,25.18
Sivaganga,2017,Rabi,Groundnut,0,18.4,28.91
Sivaganga,2017,Kharif,Groundnut,0,25.2,25.66
Sivaganga,2017,Rabi,Maize,1190,18.4,28.91
Sivaganga,2017,Kharif,Maize,3920,25.2,25.66
Sivaganga,2017,Rabi,Onion,9210,18.4,28.91
Sivaganga,2017,Kharif,Onion,6670,25.2,25.66
Sivaganga,2017,Rabi,Urad,9710,18.4,28.91
Sivaganga,2017,Kharif,Urad,9310,25.2,25.66
Sivaganga,2017,Rabi,Cotton,910,18.4,28.91
Sivaganga,2017,Kharif,Cotton,670,27.2,25.66
Sivaganga,2018,Rabi,Groundnut,2160,19.2,27.2
Sivaganga,2018,Kharif,Groundnut,2590,27.2,26.15
Sivaganga,2018,Rabi,Maize,870,19.2,27.2
Sivaganga,2018,Kharif,Maize,3490,27.2,26.15
Sivaganga,2018,Rabi,Onion,7700,19.2,27.2
Sivaganga,2018,Kharif,Onion,6750,27.2,26.15
Sivaganga,2018,Rabi,Urad,9100,19.2,27.2
Sivaganga,2018,Kharif,Urad,5700,27.2,26.15
Sivaganga,2018,Rabi,Cotton,760,19.2,27.2
Sivaganga,2018,Kharif,Cotton,610,24.4,26.15
Sivaganga,2019,Rabi,Groundnut,2470,18,28.54
Sivaganga,2019,Kharif,Groundnut,2510,24.4,26.04
Sivaganga,2019,Rabi,Maize,1440,18,28.54
Sivaganga,2019,Kharif,Maize,3740,24.4,26.04
Sivaganga,2019,Rabi,Onion,8920,18,28.54
Sivaganga,2019,Kharif,Onion,6650,24.4,26.04
Sivaganga,2019,Rabi,Urad,9060,18,28.54
Sivaganga,2019,Kharif,Urad,7030,24.4,26.04
Sivaganga,2019,Rabi,Cotton,850,18,28.54
Sivaganga,2019,Kharif,Cotton,780,26,26.04
Sivaganga,2020,Rabi,Groundnut,1940,14.4,28.43
Sivaganga,2020,Kharif,Groundnut,2420,26,25.86
Sivaganga,2020,Rabi,Maize,2260,14.4,28.43
Sivaganga,2020,Kharif,Maize,3230,26,25.86
Sivaganga,2020,Rabi,Onion,7500,14.4,28.43
Sivaganga,2020,Kharif,Onion,5000,26,25.86
Sivaganga,2020,Rabi,Urad,9770,14.4,28.43
Sivaganga,2020,Kharif,Urad,5540,26,25.86
Sivaganga,2020,Rabi,Cotton,890,14.4,28.43
Sivaganga,2020,Kharif,Cotton,520,22.4,25.86
Sivaganga,2021,Rabi,Groundnut,1630,21.6,27.54
Sivaganga,2021,Kharif,Groundnut,2380,22.4,25.89
Sivaganga,2021,Rabi,Maize,1340,21.6,27.54
Sivaganga,2021,Kharif,Maize,3900,22.4,25.89
Sivaganga,2021,Rabi,Onion,8060,21.6,27.54
Sivaganga,2021,Kharif,Onion,6040,22.4,25.89
Sivaganga,2021,Rabi,Urad,9120,21.6,27.54
Sivaganga,2021,Kharif,Urad,6010,22.4,25.89
Sivaganga,2021,Rabi,Cotton,880,21.6,27.54
Sivaganga,2021,Kharif,Cotton,630,22.4,25.89
Sivaganga,2022,Rabi,Groundnut,1900,21.2,27.38
Sivaganga,2022,Kharif,Groundnut,1790,22.4,25.86
Sivaganga,2022,Rabi,Maize,1080,21.2,27.38
Sivaganga,2022,Kharif,Maize,3490,22.4,25.86
Sivaganga,2022,Rabi,Onion,7750,21.2,27.38
Sivaganga,2022,Kharif,Onion,6260,22.4,25.86
Sivaganga,2022,Rabi,Urad,9530,21.2,27.38
Sivaganga,2022,Kharif,Urad,7620,22.4,25.86
Sivaganga,2022,Rabi,Cotton,860,21.2,27.38
Sivaganga,2022,Kharif,Cotton,660,26.4,25.86
Thanjavur,2015,Rabi,Groundnut,1860,18.8,27.67
Thanjavur,2015,Kharif,Groundnut,2570,26.4,26.94
Thanjavur,2015,Rabi,Maize,3280,18.8,27.67
Thanjavur,2015,Kharif,Maize,5050,26.4,26.94
Thanjavur,2015,Rabi,Onion,7350,18.8,27.67
Thanjavur,2015,Kharif,Onion,6840,26.4,26.94
Thanjavur,2015,Rabi,Urad,9630,18.8,27.67
Thanjavur,2015,Kharif,Urad,6330,26.4,26.94
Thanjavur,2015,Rabi,Cotton,740,18.8,27.67
Thanjavur,2015,Kharif,Cotton,510,26,26.94
Thanjavur,2016,Rabi,Groundnut,1300,16.4,27.75
Thanjavur,2016,Kharif,Groundnut,4590,26,25.6
Thanjavur,2016,Rabi,Maize,1570,16.4,27.75
Thanjavur,2016,Kharif,Maize,3880,26,25.6
Thanjavur,2016,Rabi,Onion,4550,16.4,27.75
Thanjavur,2016,Kharif,Onion,1260,26,25.6
Thanjavur,2016,Rabi,Urad,10300,16.4,27.75
Thanjavur,2016,Kharif,Urad,5000,26,25.6
Thanjavur,2016,Rabi,Cotton,1180,16.4,27.75
Thanjavur,2016,Kharif,Cotton,390,26.4,25.6
Thanjavur,2017,Rabi,Groundnut,0,19.6,28.28
Thanjavur,2017,Kharif,Groundnut,0,26.4,26.68
Thanjavur,2017,Rabi,Maize,2460,19.6,28.28
Thanjavur,2017,Kharif,Maize,4410,26.4,26.68
Thanjavur,2017,Rabi,Onion,9220,19.6,28.28
Thanjavur,2017,Kharif,Onion,6690,26.4,26.68
Thanjavur,2017,Rabi,Urad,9700,19.6,28.28
Thanjavur,2017,Kharif,Urad,9310,26.4,26.68
Thanjavur,2017,Rabi,Cotton,1210,19.6,28.28
Thanjavur,2017,Kharif,Cotton,820,23.2,26.68
Thanjavur,2018,Rabi,Groundnut,2160,14.8,27.77
Thanjavur,2018,Kharif,Groundnut,5250,23.2,25.03
Thanjavur,2018,Rabi,Maize,2170,14.8,27.77
Thanjavur,2018,Kharif,Maize,4650,23.2,25.03
Thanjavur,2018,Rabi,Onion,7600,14.8,27.77
Thanjavur,2018,Kharif,Onion,5310,23.2,25.03
Thanjavur,2018,Rabi,Urad,8880,14.8,27.77
Thanjavur,2018,Kharif,Urad,5680,23.2,25.03
Thanjavur,2018,Rabi,Cotton,1390,14.8,27.77
Thanjavur,2018,Kharif,Cotton,560,27.6,25.03
Thanjavur,2019,Rabi,Groundnut,2410,19.2,28.46
Thanjavur,2019,Kharif,Groundnut,2510,27.6,26.97
Thanjavur,2019,Rabi,Maize,2480,19.2,28.46
Thanjavur,2019,Kharif,Maize,5620,27.6,26.97
Thanjavur,2019,Rabi,Onion,8930,19.2,28.46
Thanjavur,2019,Kharif,Onion,6730,27.6,26.97
Thanjavur,2019,Rabi,Urad,9150,19.2,28.46
Thanjavur,2019,Kharif,Urad,7080,27.6,26.97
Thanjavur,2019,Rabi,Cotton,1030,19.2,28.46
Thanjavur,2019,Kharif,Cotton,970,24,26.97
Thanjavur,2020,Rabi,Groundnut,1940,15.2,27.49
Thanjavur,2020,Kharif,Groundnut,2420,24,26.48
Thanjavur,2020,Rabi,Maize,2130,15.2,27.49
Thanjavur,2020,Kharif,Maize,4590,24,26.48
Thanjavur,2020,Rabi,Onion,7280,15.2,27.49
Thanjavur,2020,Kharif,Onion,5280,24,26.48
Thanjavur,2020,Rabi,Urad,9770,15.2,27.49
Thanjavur,2020,Kharif,Urad,6000,24,26.48
Thanjavur,2020,Rabi,Cotton,1160,15.2,27.49
Thanjavur,2020,Kharif,Cotton,860,24,26.48
Thanjavur,2021,Rabi,Groundnut,1610,18.4,27.79
Thanjavur,2021,Kharif,Groundnut,2390,24,26.68
Thanjavur,2021,Rabi,Maize,4010,18.4,27.79
Thanjavur,2021,Kharif,Maize,3860,24,26.68
Thanjavur,2021,Rabi,Onion,8070,18.4,27.79
Thanjavur,2021,Kharif,Onion,6070,24,26.68
Thanjavur,2021,Rabi,Urad,9090,18.4,27.79
Thanjavur,2021,Kharif,Urad,7000,24,26.68
Thanjavur,2021,Rabi,Cotton,1080,18.4,27.79
Thanjavur,2021,Kharif,Cotton,660,25.6,26.68
Thanjavur,2022,Rabi,Groundnut,1910,19.6,27.5
Thanjavur,2022,Kharif,Groundnut,1790,25.6,26.41
Thanjavur,2022,Rabi,Maize,2120,19.6,27.5
Thanjavur,2022,Kharif,Maize,2740,25.6,26.41
Thanjavur,2022,Rabi,Onion,7800,19.6,27.5
Thanjavur,2022,Kharif,Onion,6140,25.6,26.41
Thanjavur,2022,Rabi,Urad,9500,19.6,27.5
Thanjavur,2022,Kharif,Urad,8000,25.6,26.41
Thanjavur,2022,Rabi,Cotton,940,19.6,27.5
Thanjavur,2022,Kharif,Cotton,960,25.2,26.41
The nilgiris,2015,Rabi,Groundnut,1910,15.2,27.22
The nilgiris,2015,Kharif,Groundnut,1790,25.2,25.51
The nilgiris,2015,Rabi,Maize,2250,15.2,27.22
The nilgiris,2015,Kharif,Maize,2740,25.2,25.51
The nilgiris,2015,Rabi,Onion,7800,15.2,27.22
The nilgiris,2015,Kharif,Onion,6140,25.2,25.51
The nilgiris,2015,Rabi,Urad,9500,15.2,27.22
The nilgiris,2015,Kharif,Urad,8000,25.2,25.51
The nilgiris,2015,Rabi,Cotton,940,15.2,27.22
The nilgiris,2015,Kharif,Cotton,960,23.6,25.51
The nilgiris,2016,Rabi,Groundnut,1910,18.8,27.4
The nilgiris,2016,Kharif,Groundnut,1790,23.6,26.13
The nilgiris,2016,Rabi,Maize,1500,18.8,27.4
The nilgiris,2016,Kharif,Maize,2740,23.6,26.13
The nilgiris,2016,Rabi,Onion,7800,18.8,27.4
The nilgiris,2016,Kharif,Onion,6140,23.6,26.13
The nilgiris,2016,Rabi,Urad,9500,18.8,27.4
The nilgiris,2016,Kharif,Urad,8000,23.6,26.13
The nilgiris,2016,Rabi,Cotton,940,18.8,27.4
The nilgiris,2016,Kharif,Cotton,960,24,26.13
The nilgiris,2017,Rabi,Groundnut,1910,16.8,28.37
The nilgiris,2017,Kharif,Groundnut,1790,24,27.4
The nilgiris,2017,Rabi,Maize,2400,16.8,28.37
The nilgiris,2017,Kharif,Maize,4000,24,27.3
The nilgiris,2017,Rabi,Onion,7800,16.8,28.37
The nilgiris,2017,Kharif,Onion,6140,24,27.3
The nilgiris,2017,Rabi,Urad,9500,16.8,28.37
The nilgiris,2017,Kharif,Urad,8000,24,27.3
The nilgiris,2017,Rabi,Cotton,940,16.8,28.37
The nilgiris,2017,Kharif,Cotton,960,22.4,27.3
The nilgiris,2018,Rabi,Groundnut,1910,16.4,27.87
The nilgiris,2018,Kharif,Groundnut,1790,22.4,26.89
The nilgiris,2018,Rabi,Maize,2400,16.4,27.87
The nilgiris,2018,Kharif,Maize,4000,22.4,26.89
The nilgiris,2018,Rabi,Onion,11000,16.4,27.87
The nilgiris,2018,Kharif,Onion,6140,22.4,26.89
The nilgiris,2018,Rabi,Urad,9500,16.4,27.87
The nilgiris,2018,Kharif,Urad,8000,22.4,26.89
The nilgiris,2018,Rabi,Cotton,940,16.4,27.87
The nilgiris,2018,Kharif,Cotton,960,24.8,26.89
The nilgiris,2019,Rabi,Groundnut,1910,21.2,28.61
The nilgiris,2019,Kharif,Groundnut,1790,24.8,26.63
The nilgiris,2019,Rabi,Maize,2400,21.2,28.61
The nilgiris,2019,Kharif,Maize,4000,24.8,26.63
The nilgiris,2019,Rabi,Onion,9000,21.2,28.61
The nilgiris,2019,Kharif,Onion,6000,24.8,26.63
The nilgiris,2019,Rabi,Urad,9500,21.2,28.61
The nilgiris,2019,Kharif,Urad,7000,24.8,26.63
The nilgiris,2019,Rabi,Cotton,940,21.2,28.61
The nilgiris,2019,Kharif,Cotton,960,27.2,26.63
The nilgiris,2020,Rabi,Groundnut,1910,16,27.54
The nilgiris,2020,Kharif,Groundnut,1790,27.2,25.97
The nilgiris,2020,Rabi,Maize,2400,16,27.54
The nilgiris,2020,Kharif,Maize,4000,27.2,25.97
The nilgiris,2020,Rabi,Onion,10670,16,27.54
The nilgiris,2020,Kharif,Onion,6000,27.2,25.97
The nilgiris,2020,Rabi,Urad,10000,16,27.54
The nilgiris,2020,Kharif,Urad,7000,27.2,25.97
The nilgiris,2020,Rabi,Cotton,940,16,27.54
The nilgiris,2020,Kharif,Cotton,960,25.6,25.97
The nilgiris,2021,Rabi,Groundnut,1910,17.2,27.81
The nilgiris,2021,Kharif,Groundnut,1790,25.6,26.83
The nilgiris,2021,Rabi,Maize,2400,17.2,27.81
The nilgiris,2021,Kharif,Maize,4000,25.6,26.83
The nilgiris,2021,Rabi,Onion,6000,17.2,27.81
The nilgiris,2021,Kharif,Onion,7500,25.6,26.83
The nilgiris,2021,Rabi,Urad,10000,17.2,27.81
The nilgiris,2021,Kharif,Urad,7000,25.6,26.83
The nilgiris,2021,Rabi,Cotton,940,17.2,27.81
The nilgiris,2021,Kharif,Cotton,960,25.2,26.83
The nilgiris,2022,Rabi,Groundnut,1910,18.8,27.45
The nilgiris,2022,Kharif,Groundnut,1790,25.2,26.48
The nilgiris,2022,Rabi,Maize,2400,18.8,27.45
The nilgiris,2022,Kharif,Maize,4000,25.2,26.48
The nilgiris,2022,Rabi,Onion,6000,18.8,27.45
The nilgiris,2022,Kharif,Onion,7500,25.2,26.48
The nilgiris,2022,Rabi,Urad,10000,18.8,27.45
The nilgiris,2022,Kharif,Urad,7000,25.2,26.48
The nilgiris,2022,Rabi,Cotton,940,18.8,27.45
The nilgiris,2022,Kharif,Cotton,960,25.6,26.48
Theni,2015,Rabi,Groundnut,4730,20.4,27.84
Theni,2015,Kharif,Groundnut,4470,25.6,25.9
Theni,2015,Rabi,Maize,3390,20.4,27.84
Theni,2015,Kharif,Maize,3290,25.6,25.9
Theni,2015,Rabi,Onion,8490,20.4,27.84
Theni,2015,Kharif,Onion,5670,25.6,25.9
Theni,2015,Rabi,Urad,11700,20.4,27.84
Theni,2015,Kharif,Urad,10890,25.6,25.9
Theni,2015,Rabi,Cotton,690,20.4,27.84
Theni,2015,Kharif,Cotton,700,26.8,25.9
Theni,2016,Rabi,Groundnut,1290,17.2,28.91
Theni,2016,Kharif,Groundnut,240,26.8,25.45
Theni,2016,Rabi,Maize,2550,17.2,28.91
Theni,2016,Kharif,Maize,3230,26.8,25.45
Theni,2016,Rabi,Onion,4550,17.2,28.91
Theni,2016,Kharif,Onion,1260,26.8,25.45
Theni,2016,Rabi,Urad,13970,17.2,28.91
Theni,2016,Kharif,Urad,12580,26.8,25.45
Theni,2016,Rabi,Cotton,770,17.2,28.91
Theni,2016,Kharif,Cotton,360,22,25.45
Theni,2017,Rabi,Groundnut,0,14.4,27.61
Theni,2017,Kharif,Groundnut,0,22,26.31
Theni,2017,Rabi,Maize,2170,14.4,27.61
Theni,2017,Kharif,Maize,3920,22,26.31
Theni,2017,Rabi,Onion,9220,14.4,27.61
Theni,2017,Kharif,Onion,8850,22,26.31
Theni,2017,Rabi,Urad,12670,14.4,27.61
Theni,2017,Kharif,Urad,11310,22,26.31
Theni,2017,Rabi,Cotton,910,14.4,27.61
Theni,2017,Kharif,Cotton,680,25.2,26.31
Theni,2018,Rabi,Groundnut,2170,18.8,28.37
Theni,2018,Kharif,Groundnut,2600,25.2,25.06
Theni,2018,Rabi,Maize,3320,18.8,28.37
Theni,2018,Kharif,Maize,3490,25.2,25.06
Theni,2018,Rabi,Onion,7600,18.8,28.37
Theni,2018,Kharif,Onion,7000,25.2,25.06
Theni,2018,Rabi,Urad,9970,18.8,28.37
Theni,2018,Kharif,Urad,5680,25.2,25.06
Theni,2018,Rabi,Cotton,760,18.8,28.37
Theni,2018,Kharif,Cotton,610,22.4,25.06
Theni,2019,Rabi,Groundnut,4540,15.2,28.49
Theni,2019,Kharif,Groundnut,5680,22.4,26.59
Theni,2019,Rabi,Maize,2930,15.2,28.49
Theni,2019,Kharif,Maize,3740,22.4,26.59
Theni,2019,Rabi,Onion,8940,15.2,28.49
Theni,2019,Kharif,Onion,6720,22.4,26.59
Theni,2019,Rabi,Urad,8420,15.2,28.49
Theni,2019,Kharif,Urad,7050,22.4,26.59
